1,unmittelbare Anstellung,Q506999,,Q-1770 Person,1778,1779,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,Qualifikation 3,Qualifikation 4,Qualifikation 5,Ort,,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname
979,Superintendentur Cranichfeld,,,,Johann Heinrich Metz,Johann Heinrich Metz,unverändert,Schuldiener,Richheim,,,,,,,,,,,,,,,
980,Superintendentur Cranichfeld,,,,Johann Christoph Salomon,Johann Christoph Salomon,unverändert,Schuldiener zu Gügleben,Richheim,,,,,,,,,,,,,,,
981,Superintendentur Cranichfeld,,,,Wilhelm Gottfried Göpfert,Wilhelm Gottfried Göpfert,anderer FN,Pfarrer,Treppendorf,,,,,,,,,,,,,,,
982,Superintendentur Cranichfeld,,,,August Jacob Goldschmidt,August Jacob Goldschmidt,unverändert,Schuldiener,Treppendorf,,,,,,,,,,,,,,,
983,Superintendentur Ohrdruff,,,,M. Friedrich Christian Koch,M. Friedrich Christian Koch,unverändert,Superintendent,Ohrdruff,,,,,,,,Magister,,,,,,,
984,Superintendentur Ohrdruff,,,Q41654,Ernst Christian Herrmann,Ernst Christian Herrmann,unverändert,Arci-Diaconus,Ohrdruff,,,,,,,,,,,,,,,
985,Superintendentur Ohrdruff,,,Q42214,Johann Christian Gottfried Körber,Johann Christian Gottfried Körber,unverändert,Sub-Diaconus,Ohrdruff,,,,,,,,,,,,,,,
986,Superintendentur Ohrdruff,,,,Johann Friedrich Kieser,Johann Friedrich Kieser,unverändert,Kirchner,Ohrdruff,,,,,,,,,,,,,,,
987,in der Vorstadt,,,Q42533,Johann Jeremias Gutbier,Johann Jeremias Gutbier,unverändert,Pastor,in der Vorstadt,,,,,,,,,,,,,,,
988,in der Vorstadt,,,Q77763,Christian Fidejust Silberschlag,Christian Fidejust Silberschlag,unverändert,Diaconus,in der Vorstadt,,,,,,,,,,,,,,,
989,Gymnasium,,,,M. Christian Friedrich Kirst,M. Christian Friedrich Kirst,unverändert,Rector,Gymnasium,,,,,,,,Magister,,,,,,,
990,Gymnasium,,,,,Ludwig Carl Agricola,neu,Conrector,,,,,,,,,,,Ludwig,Carl,,,,Agricola
991,Gymnasium,,,,Ernst Carl Gottfried Bach,Ernst Carl Gottfried Bach,andere Qualli,Cantor,Collega,Class tert,,,,,,,,,,,,,,
992,Gymnasium,,,,Johann Gottfried Römer,Johann Gottfried Römer,unverändert,Collega Class.quart,,,,,,,,,,,,,,,,
993,Gymnasium,,,Q370239,Johann Andreas Bach,Johann Andreas Bach,unverändert,Collega Class.quint und Organist,,,,,,,,,,,,,,,,
994,Gymnasium,,,Q160796,Ernst August Wilhelm Cristian Friderici,Ernst August Wilhelm Cristian Friderici,unverändert,Collega Class.fext und sept,,,,,,,,,,,,,,,,
995,Gymnasium,,,,Nicolaus Andreas Franck,Nicolaus Andreas Franck,unverändert,Mägdlein-Schulmeister,,,,,,,,,,,,,,,,
996,Gymnasium,,,,Christian Ludwig Gottlob Schlimbach,Christian Ludwig Gottlob Schlimbach,neu,Mägdlein-Schulmeister,Kirchner in der Vorstadt,,,,,,,,,,,,,,,
997,Gymnasium,,,,Nicolaus Christian Koch ,Nicolaus Christian Koch ,unverändert,Knaben-Schulmeister,Organist zu St. Trinitatis,,,,,,,,,,,,,,,
998,Gymnasium,,,Q42418,Johann Georg Oehring,Johann Georg Oehring,unverändert,Pfarrer,Emleben,,,,,,,,,,,,,,,
999,Gymnasium,,,,Johann Andreas Armstroff,Johann Andreas Armstroff,andere Qualli,Cantor,Organist,Emleben,,,,,,,,,,,,,,
1000,Gymnasium,,,,Christian Wilhelm Roth,Christian Wilhelm Roth,unverändert,Pfarrer,Pferdingsleben,,,,,,,,,,,,,,,
1001,Gymnasium,,,,Johann Zacharias Göpel,Johann Zacharias Göpel,unverändert,Schuldiener,Pferdingsleben,,,,,,,,,,,,,,,
1002,Gymnasium,,,Q42106,Johann Andreas Beck,Johann Andreas Beck,unverändert,Pfarrer,Schwabhausen,und Filiale Petriroda,,,,,,,,,,,,,,
1003,Gymnasium,,,,Johann Samuel Frischmuth,Johann Samuel Frischmuth,unverändert,Schuldiener,Schwabhausen,,,,,,,,,,,,,,,
1004,Gymnasium,,,,Johann Philipp Kachel,Johann Philipp Kachel,unverändert,Schuldiener zu Petriroda,Schwabhausen,,,,,,,,,,,,,,,
1005,Gymnasium,,,,Johann Carl Mayer,Johann Carl Mayer,unverändert,Pfarrer,Wechmar,,,,,,,,,,,,,,,
1006,Gymnasium,,,Q385365,Ernst Christian Bach,Ernst Christian Bach,unverändert,Cantor,Wechmar,Knaben-Schulmeister,,,,,,,,,,,,,,
1007,Gymnasium,,,,Johann Michael Hellbach,Johann Michael Hellbach,unverändert,Organist,Wechmar,Mägdlein-Schulmeister,,,,,,,,,,,,,,
1008,Gymnasium,,,Q43093,Philipp Christian Bach,Philipp Christian Bach,unverändert,Pfarrer,Werningshausen,,,,,,,,,,,,,,,
1009,Gymnasium,,,,Johann Sebastian Büchel,Johann Sebastian Büchel,unverändert,Cantor,Werningshausen,Knaben-Schulmeister,,,,,,,,,,,,,,
1010,Gymnasium,,,,Nicolaus Christian Lehmann,Nicolaus Christian Lehmann,unverändert,Organist,Werningshausen,,,,,,,,,,,,,,,
1011,Gymnasium,,,,Johann Gottfried Wermuth,Johann Gottfried Wermuth,unverändert,Mägdlein-Schulmeister,Werningshausen,,,,,,,,,,,,,,,
1012,Gemeinschaftliche Inspection Themar,,,,Johann August Plödtner,Johann August Plödtner,unverändert,Gemeinschaftlicher Ober Pfarrer und der Themarisch-Dioeces Decanus,Themar,,,,,,,,,,,,,,,
1013,Gemeinschaftliche Inspection Themar,,,,Johann Theodor Hölbe,Johann Theodor Hölbe,unverändert,Diaconus,Themar,,,,,,,,,,,,,,,
1014,Gemeinschaftliche Inspection Themar,,,Q146346,Heinrich Ernst Encke,Heinrich Ernst Encke,andere Qualli,Rector,Themar,,,,,,,,,,,,,,,
1015,Gemeinschaftliche Inspection Themar,,,,,Johann Christoph Rausch,neu,Cantor,Themar,zweiter Schul-Collega,,,,,,,,,Johann,Christoph,,,,Rausch
1016,Gemeinschaftliche Inspection Themar,,,,Johann Georg Rebling,Johann Georg Rebling,unverändert,Stadtkirchner,Themar,dritter Schul Collega,,,,,,,,,,,,,,
1017,Gemeinschaftliche Inspection Themar,,,,Johann Georg Friedrich Schultheiß,Johann Georg Friedrich Schultheiß,unverändert,Themar,Organist,Mägdelein-Schuldiener,,,,,,,,,,,,,,
1018,Gemeinschaftliche Inspection Themar,,,,,Andreas Gottlieb König,neu,Pfarrer,Dingsleben,,,,,,,,,,Andreas,Gottlieb,,,,König
1019,Gemeinschaftliche Inspection Themar,,,,Carl Ludwig Kemmlein,Carl Ludwig Kemmlein,unverändert,Schuldiener,Dingsleben,,,,,,,,,,,,,,,
1020,Gemeinschaftliche Inspection Themar,,,,Jacob Eisenhäner,Jacob Eisenhäner,unverändert,Präceptor,Ehrenberg und Grimmelshausen,,,,,,,,,,,,,,,
1021,Gemeinschaftliche Inspection Themar,,,Q192780,Christian Heinrich Schmidt,Christian Heinrich Schmidt,unverändert,Pfarrer,Erdorf,zu Oberndorf,,,,,,,,,,,,,,
1022,Gemeinschaftliche Inspection Themar,,,,Johann Georg Kirchner,Johann Georg Kirchner,unverändert,Schuldiener,Erdorf,,,,,,,,,,,,,,,
1023,Gemeinschaftliche Inspection Themar,,,,Andreas Frantz,Andreas Frantz,unverändert,Präceptor,Grube,zu Tachbach,,,,,,,,,,,,,,
1024,Gemeinschaftliche Inspection Themar,,,Q174891,Friedrich Gottlieb Schramm,Friedrich Gottlieb Schramm,unverändert,Pfarrer,Henfstädt,und Filiale St. Bernhard,,,,,,,,,,,,,,
1025,Gemeinschaftliche Inspection Themar,,,,Friedrich Ernst Reinhardt,Friedrich Ernst Reinhardt,unverändert,Schuldiener,Henfstädt,,,,,,,,,,,,,,,
1026,Gemeinschaftliche Inspection Themar,,,,Johann Heinrich Schwartz,Johann Heinrich Schwartz,unverändert,Schuldiener zu St. Bernhard,Henfstädt,,,,,,,,,,,,,,,
1027,Gemeinschaftliche Inspection Themar,,,,Christoph Friedrich Heinlein,Christoph Friedrich Heinlein,unverändert,Pfarrer,Lengfeld,,,,,,,,,,,,,,,
1028,Gemeinschaftliche Inspection Themar,,,,Wilhelm Röbling,Wilhelm Röbling,unverändert,Schuldiener,Lengfeld,,,,,,,,,,,,,,,
1029,Gemeinschaftliche Inspection Themar,,,,Johann Georg Link,Johann Georg Link,unverändert,Pfarrer,Oberstadt,,,,,,,,,,,,,,,
1030,Gemeinschaftliche Inspection Themar,,,,Jacob Raumschüßel,Jacob Raumschüßel,unverändert,Schuldiener,Oberstadt,,,,,,,,,,,,,,,
1031,Gemeinschaftliche Inspection Themar,,,,Johann Nicolaus Volckmar,Johann Nicolaus Volckmar,unverändert,Pfarrer,Reurieth,und Filliale Beynerstädt und den eingepfarrten DörfernTrohstädt und Siegritz,,,,,,,,,,,,,,
1032,Gemeinschaftliche Inspection Themar,,,,Johann Adam Kemmlein,Johann Adam Kemmlein,unverändert,Schuldiener,Reurieth,,,,,,,,,,,,,,,
1033,Gemeinschaftliche Inspection Themar,,,,Johann Philipp Kemmlein,Johann Philipp Kemmlein,unverändert,Substitut,Reurieth,,,,,,,,,,,,,,,
1034,Gemeinschaftliche Inspection Themar,,,,Johann Gustav Marian Ebert,Johann Gustav Marian Ebert,unverändert,Schuldiener zu Beynerstädt ,Reurieth,,,,,,,,,,,,,,,
1035,Gemeinschaftliche Inspection Themar,,,,Josias Christian Weigard,Josias Christian Weigard,unverändert,Pfarrer,Schmeheim,,,,,,,,,,,,,,,
1036,Gemeinschaftliche Inspection Themar,,,,Johann Friedrich Lang,Johann Friedrich Lang,unverändert,Schuldiener,Schmeheim,,,,,,,,,,,,,,,
1037,Gemeinschaftliche Inspection Themar,,,,Johann Wolfgang Etzing,Johann Wolfgang Etzing,unverändert,Präceptor,Wachenbrunn,,,,,,,,,,,,,,,
1038,Geistlichkeit zu Genff,,,Q42203,Johann Christian Beumelburg,Johann Christian Beumelburg,unverändert,Ober-Pfarrer,,,,,,,,,,,,,,,,
1039,Geistlichkeit zu Genff,,,,Johann Friedrich Georg Ostückenberg,Friedrich Christian Gotthart,neu,Abend-Prediger,,,,,,,,,,,,,,,,
1040,Geistlichkeit zu Genff,,,Q42364,Johann Friedrich Jacob Reynitsch,Johann Friedrich Jacob Reynitsch,unverändert,Feld-Prediger bei dem in Dienst der Herrn General-Staaten stehenden S. Gothaischen Löbl. Infantrie-Regiment,,,,,,,,,,,,,,,,
1041,Cammerherren,Q506908,,Q507069,Engelke von Plessen,Engelke von Plessen,unverändert,Cammerherr,,,,,,,,,,,,,,,,
1042,Cammerherren,Q506908,,Q507991,Heinrich Gottfried von Selzer,Heinrich Gottfried von Selzer,unverändert,Cammerherr,General-Major,,,,,,,,,,,,,,,
1043,Cammerherren,Q506908,,,Wilhelm von Stutterheim,Wilhelm von Stutterheim,unverändert,Cammerherr,Landjägermeister,,,,,,,,,,,,,,,
1044,Cammerherren,Q506908,,,August von Berbisdorff,August von Berbisdorff,unverändert,Cammerherr,Obrister,Schloß-Commandant,Stadt-Commandant,,,,,,,,,,,,,
1045,Cammerherren,Q506908,,Q28053,Carl Rudolph von Grone,Carl Rudolph von Grone,unverändert,Cammerherr,Reisemarschall,,,,,,,,,,,,,,,
1046,Cammerherren,Q506908,,Q507824,Christian Georg von Hellmolt,Christian Georg von Hellmolt,unverändert,Cammerherr,Stallmeister,Obrister,Commendant bey der Leib-Garde,,,,,,,,,,,,,
1047,Cammerherren,Q506908,,Q507364,Friedrich Wolfgang von Ziegler,Friedrich Wolfgang von Ziegler,unverändert,Cammerherr,Schloßhauptmann,,,,,,,,,,,,,,,
1048,Cammerherren,Q506908,,Q507980,Carl Alexander von Seebach,Carl Alexander von Seebach,unverändert,Cammerherr,Cammer-Rath,,,,,,,,,,,,,,,
1049,Cammerherren,Q506908,,Q507830,Wilhelm Heinrich von Wolzogen,Wilhelm Heinrich von Wolzogen,unverändert,Cammerherr,Geheimer-Regierungs-Rath,,,,,,,,Freiherr,,,,,,,
1050,Cammerherren,Q506908,,Q507319,Carl Hannibal von Schmerzing,Carl Hannibal von Schmerzing,unverändert,Cammerherr,General-Major,,,,,,,,Freiherr,,,,,,,
1051,Cammerherren,Q506908,,Q507979,Carl Friedrich von Hellmolt,Carl Friedrich von Hellmolt,unverändert,Cammerherr,,,,,,,,,,,,,,,,
1052,Cammerherren,Q506908,,Q507730,Johann Maximilian von Linsing,Johann Maximilian von Linsing,andere Quali,Cammerherr,Obrist Leutnant,,,,,,,,,,,,,,,
1053,Cammerherren,Q506908,,Q507796,Johann Heinrich Rudoph von Claußenheim,Johann Heinrich Rudoph von Claußenheim,unverändert,Cammerherr,,,,,,,,,,,,,,,,
1054,Cammerherren,Q506908,,Q507777,Wolf Gottfried Jarislaw von Prittwitz,Wolf Gottfried Jarislaw von Prittwitz,unverändert,Cammerherr,Oberforstmeister,,,,,,,,,,,,,,,
1055,Cammerherren,Q506908,,Q507968,Friedrich Leopold von Hahn,Friedrich Leopold von Hahn,unverändert,Cammerherr,Oberforstmeister,,,,,,,,,,,,,,,
1056,Cammerherren,Q506908,,Q507048,Friedrich Carl Wilhelm von Kessel,Friedrich Carl Wilhelm von Kessel,andere Quali,Cammerherr,Obrist-Leutnant von der Cavallerie,Major bei der Leibgarde,,,,,,,,,,,,,,
1057,Cammerherren,Q506908,,,Carl Wilhelm von der Borch,Carl Wilhelm von der Borch,andere Quali,Cammerherr,Obrister,,,,,,,,,,,,,,,
1058,Cammerherren,Q506908,,Q513309,Ludwig Benjamin von Saugy,Ludwig Benjamin von Saugy,unverändert,Cammerherr,Obrister,,,,,,,,,,,,,,,
1059,Cammerherren,Q506908,,,Wilhelm Ludwig von der Gablenz,Wilhelm Ludwig von der Gablenz,unverändert,Cammerherr,,,,,,,,,,,,,,,,
1060,Cammerherren,Q506908,,Q99130,Christian Carl von Werthern,Christian Carl von Werthern,unverändert,Cammerherr,Hauptmann,,,,,,,,,,,,,,,
1061,Cammerherren,Q506908,,Q507857,Carl Adolph von Forsten,Carl Adolph von Forsten,andere Quali,Cammerherr,Major,,,,,,,,,,,,,,,
1062,Cammerherren,Q506908,,Q219440,August Friedrich Carl von Ziegesar,August Friedrich Carl von Ziegesar,unverändert,Cammerherr,Hofrath,,,,,,,,,,,,,,,
1063,Cammerherren,Q506908,,Q76336,Carl Bernhard Heinrich von Wangenheim,Carl Bernhard Heinrich von Wangenheim,unverändert,Cammerherr,Hauptmann,,,,,,,,,,,,,,,
1064,Cammerherren,Q506908,,Q28055,Carl Levin Otto von Lenthe,Carl Levin Otto von Lenthe,unverändert,Cammerherr,Cammerrath,,,,,,,,,,,,,,,
1065,Cammerherren,Q506908,,,Johann Wilhelm von Thümmel,Johann Wilhelm von Thümmel,unverändert,Cammerherr,Cammerrath,,,,,,,,,,,,,,,
1066,Cammerherren,Q506908,,,August Geyer von Geyersberg,August Geyer von Geyersberg,unverändert,Cammerherr,Obrister,,,,,,,,,,,,,,,
1067,Cammerherren,Q506908,,Q513402,Hanß Julius von Kirchbach,Hanß Julius von Kirchbach,unverändert,Cammerherr,Obrist Letnant,,,,,,,,,,,,,,,
1068,Cammerherren,Q506908,,,Friedrich Emilius von Uechtritz,Friedrich Emilius von Uechtritz,andere Quali,Cammerherr,Hofrath,,,,,,,,,,,,,,,
1069,Hof-Geistliche zu Gotha,Q506775,,Q507466,Wilhelm Friedrich Stötzel,Wilhelm Friedrich Stötzel,andere Quali,Consistorial-Rath,General Superintendend,Beicht-Vater,,,,,,,,,,,,,,
1070,Hof-Geistliche zu Gotha,Q506775,,Q41514,Christan Wilhelm Bause,Christan Wilhelm Bause,andere Quali,Consistorial-Rath,Ober-Hofprediger,,,,,,,,,,,,,,,
1071,Hof-Geistliche zu Gotha,Q506775,,,Justin Schneegaß,Justin Schneegaß,unverändert,Hof-Diaconus,,,,,,,,,,,,,,,,
1072,Hof-Geistliche zu Gotha,Q506775,,Q29195,Heinrich Friedrich Jacobi,Heinrich Friedrich Jacobi,unverändert,Collaborator,,,,,,,,,,,,,,,,
1073,Hof-Geistliche zu Gotha,Q506775,,Q507926,Georg Heinrich Rätzmann,Georg Heinrich Rätzmann,unverändert,Hof-Kirchner,,,,,,,,,,,,,,,,
1074,Hof-Geistliche  zu Altenburg,Q506807,,Q507428,Gotthilf Friedemann Löber,Gotthilf Friedemann Löber,unverändert,Consistorial-Rath,General Superintendens,,,,,,,,,,,,,,,
1075,Hof-Geistliche  zu Altenburg,Q506807,,Q155199,Christoph Gottlob Reibstein,M. Christian Gottlob Löbe,neu,Hofprediger,,,,,,,,,Magister,,Christian,Gottlob,,,,Löbe
1076,Hof-Geistliche  zu Altenburg,Q506807,,,Lorenz Bernhard Meyer,Lorenz Bernhard Meyer,unverändert,Schloßkirchner,,,,,,,,,,,,,,,,
1077,zu Altenburg,Q506830,,Q23605,Johann Caspar Sulzer,Johann Caspar Sulzer,unverändert,Hofrat,Leibmedicus,,,,,,,,Dr.,,,,,,,
1078,zu Altenburg,Q506830,,Q507556,Baltasar Ludwig Tralles,Baltasar Ludwig Tralles,unverändert,Hofrat,Leibmedicus,,,,,,,,Dr.,,,,,,,
1079,zu Altenburg,Q506830,,Q156021,Friedrich Büchner,Friedrich Büchner,unverändert,Rath,Leibmedicus,,,,,,,,Dr.,,,,,,,
1080,zu Altenburg,Q506830,,Q507520,Carl Ludwig Mecklenburg,Carl Ludwig Mecklenburg,unverändert,Rath,Hof-Medicus zu Altenburg,,,,,,,,Dr.,,,,,,,
1081,zu Altenburg,Q506830,,Q23608,Johann Friedrich Grimm,Johann Friedrich Grimm,unverändert,Rath ,Leibmedicus,Brunnen-Medicus zu Ronneburg,,,,,,,,,,,,,,
1082,zu Altenburg,Q506830,,Q507552,Georg Heinrich Königsdörfer,Georg Heinrich Königsdörfer,unverändert,Rath ,Hof-Medicus zu Altenburg,,,,,,,,Dr.,,,,,,,
1083,Cammer-Bediente,Q506875,,Q507450,Ferdinand Heinrich Bube,Ferdinand Heinrich Bube,andere Qualli,Ober-Cämmerier,,,,,,,,,,,,,,,,
1084,Cammer-Bediente,Q506875,,,Georg Salomon Albrecht,Georg Salomon Albrecht,andere Qualli,Cammerier,,,,,,,,,,,,,,,,
1085,Cammer-Bediente,Q506875,,Q513407,Johann Andreas Müller,Johann Andreas Müller,unverändert,Cammerdienter,,,,,,,,,,,,,,,,
1086,Cammer-Bediente,Q506875,,Q264253,Georg Christian Wenig,Georg Christian Wenig,unverändert,Cammer-Laquay,,,,,,,,,,,,,,,,
1087,Cammer-Bediente,Q506875,,Q99141,Jacob Breuning,Jacob Breuning,unverändert,Reise-Cammer-Laquay,,,,,,,,,,,,,,,,
1088,Cammer-Bediente,Q506875,,,Johann Caspar Breunig,Johann Caspar Breunig,unverändert,Kammer-Pursch,,,,,,,,,,,,,,,,
1089,Cammer- und Hof-Fourier,Q506874,,Q259518,Johann Heinrich Schneider,Johann Heinrich Schneider,unverändert,,,,,,,,,,,,,,,,,
1090,Ober-Hofmarschall-Amt,Q506840,,Q23579,Hans Adam von Studnitz,Hans Adam von Studnitz,unverändert,Ober-Hof-Marschall,Wirklicher Geheimer Rath,Amtshauptmann zu Tenneberg und Reinhardsbrunn,,,,,,,Seine Exellenz,,,,,,,
1091,Ober-Hofmarschall-Amt,Q506840,,Q507993,Christian Ludwig von Stangen,Christian Ludwig von Stangen,unverändert,Hausmarschall,,,,,,,,,,,,,,,,
1092,Ober-Hofmarschall-Amt,Q506840,,Q28057,Eberhard Sylpius von Frankenberg,Eberhard Sylpius von Frankenberg,unverändert,Hof-Marschall,,,,,,,,,,,,,,,,
1093,Schloß-Hauptmann zu Eisenberg,Q506817,,Q507051,Friedrich Wolfgang von Ziegler,Friedrich Wolfgang von Ziegler,unverändert,Cammerherr,,,,,,,,,,,,,,,,
1094,Hof-Cavaliers,Q506852,,Q507227,Alexander von Witzleben,Alexander von Witzleben,unverändert,Cammerjunker,Hauptmann,,,,,,,,,,,,,,,
1095,Hof-Cavaliers,Q506852,,Q507975,Ferdinand Ludwig von Haußen,Ferdinand Ludwig von Haußen,unverändert,Cammerjunker,,,,,,,,,,,,,,,,
1096,Hof-Cavaliers,Q506852,,Q513264,Hans August von Zemen,Hans August von Zehmen,unverändert,Cammerjunker,,,,,,,,,,,,,,,,
1097,Hof-Cavaliers,Q506852,,Q507708,Friedrich Carl von Bendeleben,Friedrich Carl von Bendeleben,unverändert,Cammerjunker,Hauptmann,,,,,,,,,,,,,,,
1098,Hof-Cavaliers,Q506852,,Q28058,Christian Wilhelm Friedrich von Forstern,Christian Wilhelm Friedrich von Forstern,unverändert,Cammerjunker,Rittmeister bei der Garde,,,,,,,,,,,,,,,
1099,Hof-Cavaliers,Q506852,,Q99134,Ludwig Ernst von Uetterodt,Ludwig Ernst von Uetterodt,unverändert,Cammerjunker,Leutnant bei der Garde zu Pferd,,,,,,,,,,,,,,,
1100,Hof-Cavaliers,Q506852,,Q28059,Friedrich Gottlob von Leutsch,Friedrich Gottlob von Leutsch,unverändert,Cammer-Junker,Forstmeister,,,,,,,,,,,,,,,
1101,Hof-Cavaliers,Q506852,,Q507312,Philipp August Albrecht von Schirnding,Philipp August Albrecht von Schirnding,unverändert,Cammer-Junker,,,,,,,,,,,,,,,,
1102,Hof-Cavaliers,Q506852,,Q28060,Friedrich Ludwig Walrab von Wangenheim,Friedrich Ludwig Walrab von Wangenheim,unverändert,Cammer-Junker,Leutnant bei der Garde zu Pferd,,,,,,,,,,,,,,,
1103,Hof-Cavaliers,Q506852,,Q28064,Friedrich Ludwig Constantin von Wangenheim,Friedrich Ludwig Constantin von Wangenheim,unverändert,Hofjunker,Jagtjunker,,,,,,,,,,,,,,,
1104,Hof-Cavaliers,Q506852,,,Heinrich von Brünau,Heinrich von Brünau,andere Qualli,Hofjunker,Regierungsrath,,,,,,,,,,,,,,,
1105,Hof-Cavaliers,Q506852,,,Ludwig Albert von Scheliha,Ludwig Albert von Scheliha,unverändert,Hofjunker,,,,,,,,,,,,,,,,
1106,Hof-Cavaliers,Q506852,,,Doroteus Wilhelm von Wangenheim,Doroteus Wilhelm von Wangenheim,unverändert,Hofjunker,,,,,,,,,,,,,,,,
1107,Ober-Hofmarschall-Amts-Expedition,Q506841,,Q507109,Johann Wilhelm Pampo,Johann Wilhelm Pampo,unverändert,Hof-Cammer-Rath,,,,,,,,,,,,,,,,
1108,Ober-Hofmarschall-Amts-Expedition,Q506841,,Q507352,Johann Heinrich Christian Heßen,Johann Heinrich Christian Heßen,unverändert,Hof-Secretarius,,,,,,,,,,,,,,,,
1109,Ober-Hofmarschall-Amts-Expedition,Q506841,,Q513378,Sebastian August Schönau,Sebastian August Schönau,unverändert,Secretarius,,,,,,,,,,,,,,,,
1110,Ober-Hofmarschall-Amts-Expedition,Q506841,,Q507420,Johann Gottlieb Funke,Johann Gottlieb Funke,unverändert,Secretarius,,,,,,,,,,,,,,,,
1111,Ober-Hofmarschall-Amts-Expedition,Q506841,,,,Ernst Ludwig Hendrich,unverändert,Secretarii,,,,,,,,,,,Ernst,Ludwig,,,,Hendrich
1112,Aufwärter hierbey,Q506866,,,Ludwig Baum,Ludwig Baum,unverändert,Aufwärter,,,,,,,,,,,,,,,,
1113,Aufwärter hierbey,Q506866,,Q507615,Johann Georg Adam Erbstößer,Johann Georg Adam Erbstößer,unverändert,Aufwärter,,,,,,,,,,,,,,,,
1114,Pagen-Hofmeister und Informatores,Q506808,,Q1398,Johann Wilhelm Dumpf,Johann Wilhelm Dumpff,anderer FN,Pagen Hofmeister,,,,,,,,,,,,,,,,
1115,Pagen-Hofmeister und Informatores,Q506808,,Q507590,Piere Jean Antoine Paffavy,Piere Jean Antoine Paffavy,unverändert,Secretaire,Französischer Sprachmeister,Invormator,,,,,,,,,,,,,,
1116,Pagen-Hofmeister und Informatores,Q506808,,,Johann Friedrich Anthing,Johann Friedrich Anthing,unverändert,Invormator,,,,,,,,,,,,,,,,
1117,Pages,Q506809,,Q507838,Carl Wilhelm Friedrich von Etzdorf,Carl Wilhelm Friedrich von Etzdorf,unverändert,Jagt-Page,,,,,,,,,,,,,,,,
1118,Pages,Q506809,,,Drotheus Friedrich Ernst Coanstantin Jarislow von Pritwitz,Drotheus Friedrich Ernst Coanstantin Jarislow von Pritwitz,unverändert,Jagt-Page,,,,,,,,,,,,,,,,
1119,Pages,Q506809,,,Georg Carl von Einsiedel,Georg Carl von Einsiedel,unverändert,Jagt-Page,,,,,,,,,,,,,,,,
1120,Pages,Q506809,,,Ernst Ludwig Adam Walrab von Wangenheim,Ernst Ludwig Adam Walrab von Wangenheim,unverändert,,,,,,,,,,,,,,,,,
1121,Pages,Q506809,,,Carl Heinrich Moritz von  Wolframsdorf,Carl Heinrich Moritz von  Wolframsdorf,unverändert,,,,,,,,,,,,,,,,,
1122,Pages,Q506809,,,Carl Ludwig von Etzdorff,Carl Ludwig von Etzdorff,unverändert,,,,,,,,,,,,,,,,,
1123,Pages,Q506809,,,Wilhelm Christoph Erdmann von Waldenfeltz,Wilhelm Christoph Erdmann von Waldenfeltz,unverändert,,,,,,,,,,,,,,,,,
1124,Pages,Q506809,,,Georg Ferdinand von Forstner,Georg Ferdinand von Forstner,unverändert,,,,,,,,,,,,,,,,,
1125,Pages,Q506809,,,Haubold Ludwig von Einsiedel,Haubold Ludwig von Einsiedel,unverändert,,,,,,,,,,,,,,,,,
1126,Pages,Q506809,,,,Otto Carl August Alexander von Seebach,unverändert,,,,,,,,,,,,Otto,Carl,August,Alexander,,von Seebach
1127,Pages,Q506809,,,,Julius Heinrich Carl von Wangenheim,unverändert,,,,,,,,,,,,Julius,Heinrich,Carl,,,von Wangenheim
1128,Pages,Q506809,,,,Gottlob Georg Christoph Ernst von Waldenfeltz,unverändert,,,,,,,,,,,,Gottlob,Georg,Christoph,Ernst,,von Waldenfeltz
1129,Pagen Aufwärter,,,,Adam Lux,Adam Lux,unverändert,,,,,,,,,,,,,,,,,
1130,Pagen Aufwärter,,,,Johann Christoph Habich,Johann Christoph Habich,unverändert,,,,,,,,,,,,,,,,,
1131,Sous-Directeur des Plaifirs,Q506818,,Q507053,Charles Hubert Mereau,Charles Hubert Mereau,unverändert,,,,,,,,,,,,,,,,,
1132,Fourirs,Q506896,,Q259518,Johann Heinrich Schneider,Johann Heinrich Schneider,unverändert,Cammer und Hof-Fourier,,,,,,,,,,,,,,,,
